Date,Reference,Scheme_Code,Series_Code,Scheme,Series,Title,Subject
2026-02-28 00:00:00,IN-2026-000,SI,0,Scheme of Structural Investigations,0 - Elementary Discipline in the use of the Microscope,Method and Basic Discipline With the Microscope,Broad bean (Vicia faba) et al.
2026-03-23 00:00:00,IN-2026-001,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Common Cleavers (Galium aparine) — Stem (T.S.),Common cleavers (Galium aparine)
2026-03-23 00:00:00,IN-2026-002,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Dandelion (Taraxacum officinale) — Stem (T.S.),Dandelion (Taraxacum officinale)
2026-03-18 00:00:00,IN-2026-003,SI,I,Scheme of Structural Investigations,I - Dormant and Elementary Forms,Common Orange Lichen (Xanthoria parietina) — Whole Mount (W.M.),Common orange lichen (Xanthoria parietina)
2026-03-18,IN-2026-004,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Cypress-leaved Plait-moss (Hypnum cupressiforme) — Whole Mount (W.M.),Cypress-leaved plait-moss (Hypnum cupressiforme)
2026-03-18 00:00:00,IN-2026-005,SI,VI,Scheme of Structural Investigations,VI - Minor Animal Structure,House Fly (Musca domestica) — Wing (W.M.),House Fly (Musca domestica)
2026-03-21 00:00:00,IN-2026-006,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Common Ivy (Hedera helix) — Stem (T.S.),Common ivy (Hedera helix)
2026-03-23,IN-2026-007,SI,III,Scheme of Structural Investigations,III - Reproductive Elements,Pussy Willow (Salix caprea) — Pollen (W.M.),Pussy willow (Salix caprea)
2026-03-12 00:00:00,IN-2026-008,PS,LAK,Prepared Plates,I - LAKWAR Prepared Slides for Microbiology,Prepared Plates,Broad bean (Vicia faba) et al.
2026-03-28,IN-2026-009,SI,IX,Scheme of Structural Investigations,IX - Ad-Hoc Investigations,Human Blood Smear,Human (Homo sapiens)
2026-03-28,IN-2026-010,SI,II,Scheme of Structural Investigations,II - Support and Conduction,"Bellis perennis (Daisy) — Stem, Transverse Section (T.S.)",Daisy (Bellis perennis)
2026-03-28,IN-2026-011,SI,III,Scheme of Structural Investigations,III - Reproductive Elements,Common Daisy (Bellis perennis) — Petal (W.M.),Daisy (Bellis perennis)
2026-03-30,IN-2026-012,SI,0,Scheme of Structural Investigations,0 - Elementary Discipline in the use of the Microscope,Bellis perennis — Stem (T.S.) — Differential Staining Trial,Daisy (Bellis perennis)
2026-03-31,IN-2026-013,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Red Dead Nettle (Lamium purpureum) - Stem (T.S.) - Staining Comparison,Red Dead-Nettle (Lamium purpureum)
2026-04-01,IN-2026-014,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Common Hazel (Corylus avellana) - Stem (T.S.),Common hazel (Corylus avellana)
2026-04-02,IN-2026-015,SI,II,Scheme of Structural Investigations,II - Support and Conduction,"Cleavers (Galium aparine) - Stem (L.S.) - Epidermis, Vascular Continuity and Pith",Common cleavers (Galium aparine)
2026-04-07,IN-2026-016,SI,IV,Scheme of Structural Investigations,IV - Surface and Exchange,Stinging Nettle (Urtica dioica) - Leaf W.M.,Stinging Nettle (Urtica dioica)
2026-04-14,IN-2026-017,SI,II,Scheme of Structural Investigations,II - Support and Conduction,Dandelion (Taraxacum officinale) Leaf - Whole Mount (W.M.),Dandelion (Taraxacum officinale)
2026-04-15,IN-2026-018,SI,II,Scheme of Structural Investigations,II - Support and Conduction,"Hedera helix — Leaf (W.M.), Partial Clearing",Common ivy (Hedera helix)
